Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-11,57341.692466800174,58311.94107029933,57244.66760645025,57535.7421875,29623969,0.0,0.0
2024-10-14,57729.79190819983,59379.2145341484,57632.76704784992,57535.7421875,20886249,0.0,0.0
2024-10-15,59282.19283427254,59573.26743084016,58311.94417904713,59185.16796875,22715239,0.0,0.0
2024-10-16,57632.77590598739,58214.92515756302,57438.72615546218,57729.80078125,23303268,0.0,0.0
2024-10-17,57632.769158291456,58311.94320561139,57341.69456658291,57923.84375,23372873,0.0,0.0
2024-10-18,58117.896741712415,58311.94648041596,57341.69778689822,57438.72265625,14420260,0.0,0.0
2024-10-21,57244.67578125,57826.82502648305,56759.551410222455,57244.67578125,18514905,0.0,0.0
2024-10-22,57050.62516247833,57147.65003520364,55983.3515625,55983.3515625,27582527,0.0,0.0
2024-10-23,55789.2974698604,58214.91909898477,55401.1980092005,57341.6953125,27300780,0.0,0.0
2024-10-24,56468.47207652385,56759.54667485645,54916.07421875,54916.07421875,31499922,0.0,0.0
2024-10-25,54333.9272137746,55207.151043995975,54139.877473725406,54236.90234375,25829315,0.0,0.0
2024-10-28,54042.852349128654,56759.548697020226,54042.852349128654,56371.44921875,27775009,0.0,0.0
2024-10-29,56274.42245176175,57826.8203125,55595.24838768876,57826.8203125,28369314,0.0,0.0
2024-10-30,57341.6953125,58020.86936865482,56856.57098667513,57341.6953125,19838511,0.0,0.0
2024-10-31,56759.548570787585,59379.22004328547,56565.498832084035,57438.72265625,35809196,0.0,0.0
2024-11-01,57244.67014633362,57826.819334262436,56371.446364440395,56565.49609375,19083180,0.0,0.0
2024-11-04,56856.57278801107,57632.771733922484,56662.523051533215,56953.59765625,15586947,0.0,0.0
2024-11-05,56080.37003580729,56371.44462076823,55498.220865885414,55886.3203125,17484474,0.0,0.0
2024-11-06,55886.32460732984,56274.424083769634,54625.00130890052,55595.25,22092218,0.0,0.0
2024-11-07,55207.15052356021,56371.44895287958,55110.12565445026,55595.25,17043102,0.0,0.0
2024-11-08,56274.42050438596,56565.49509320175,55304.171875,55304.171875,13877396,0.0,0.0
2024-11-11,55013.09848721591,55110.12335227273,53363.67578125,53363.67578125,29811326,0.0,0.0
2024-11-12,52975.57756485849,52975.57756485849,51423.1796875,51423.1796875,37962881,0.0,0.0
2024-11-13,50452.930150691696,51423.17880743577,48997.55716557559,49094.58203125,52527995,0.0,0.0
